Country,Macrophyte_SAC,Pond_num
Belgium,5,1
Belgium,6,2
Belgium,7,3
Belgium,8,4
Belgium,9,5
Belgium,9,6
Belgium,10,7
Belgium,11,8
Belgium,11,9
Belgium,11,10
Belgium,12,11
Belgium,12,12
Belgium,13,13
Belgium,13,14
Belgium,13,15
Belgium,14,16
Belgium,14,17
Belgium,14,18
Belgium,14,19
Belgium,15,20
Belgium,15,21
Belgium,15,22
Belgium,15,23
Belgium,16,24
Belgium,16,25
Belgium,16,26
Belgium,16,27
Belgium,17,28
Belgium,17,29
Belgium,17,30
Belgium,17,31
Belgium,17,32
Belgium,18,33
Belgium,18,34
Belgium,18,35
Belgium,18,36
Belgium,18,37
Belgium,18,38
Belgium,19,39
Belgium,19,40
Belgium,19,41
Belgium,19,42
Belgium,19,43
Belgium,19,44
Belgium,20,45
Belgium,20,46
Belgium,20,47
Belgium,20,48
Belgium,20,49
Belgium,20,50
Belgium,21,51
Belgium,21,52
Belgium,21,53
Belgium,21,54
Belgium,21,55
Belgium,21,56
Belgium,21,57
Belgium,22,58
Belgium,22,59
Belgium,22,60
Belgium,22,61
Belgium,22,62
Belgium,22,63
Belgium,22,64
Belgium,22,65
Belgium,23,66
Belgium,23,67
Belgium,23,68
Belgium,23,69
Belgium,23,70
Belgium,23,71
Belgium,23,72
Belgium,23,73
Belgium,24,74
Belgium,24,75
Belgium,24,76
Belgium,24,77
Belgium,24,78
Belgium,24,79
Belgium,24,80
Belgium,24,81
Belgium,24,82
Belgium,25,83
Belgium,25,84
Belgium,25,85
Belgium,25,86
Belgium,25,87
Belgium,25,88
Belgium,25,89
Belgium,25,90
Belgium,25,91
Belgium,25,92
Belgium,26,93
Belgium,26,94
Belgium,26,95
Belgium,26,96
Belgium,26,97
Belgium,26,98
Belgium,26,99
Belgium,26,100
Switzerland,4,1
Switzerland,5,2
Switzerland,6,3
Switzerland,7,4
Switzerland,8,5
Switzerland,8,6
Switzerland,8,7
Switzerland,9,8
Switzerland,9,9
Switzerland,10,10
Switzerland,10,11
Switzerland,10,12
Switzerland,10,13
Switzerland,11,14
Switzerland,11,15
Switzerland,11,16
Switzerland,12,17
Switzerland,12,18
Switzerland,12,19
Switzerland,12,20
Switzerland,12,21
Switzerland,13,22
Switzerland,13,23
Switzerland,13,24
Switzerland,13,25
Switzerland,13,26
Switzerland,14,27
Switzerland,14,28
Switzerland,14,29
Switzerland,14,30
Switzerland,14,31
Switzerland,14,32
Switzerland,15,33
Switzerland,15,34
Switzerland,15,35
Switzerland,15,36
Switzerland,15,37
Switzerland,15,38
Switzerland,15,39
Switzerland,16,40
Switzerland,16,41
Switzerland,16,42
Switzerland,16,43
Switzerland,16,44
Switzerland,16,45
Switzerland,16,46
Switzerland,16,47
Switzerland,17,48
Switzerland,17,49
Switzerland,17,50
Switzerland,17,51
Switzerland,17,52
Switzerland,17,53
Switzerland,17,54
Switzerland,17,55
Switzerland,17,56
Switzerland,18,57
Switzerland,18,58
Switzerland,18,59
Switzerland,18,60
Switzerland,18,61
Switzerland,18,62
Switzerland,18,63
Switzerland,18,64
Switzerland,18,65
Switzerland,18,66
Switzerland,19,67
Switzerland,19,68
Switzerland,19,69
Switzerland,19,70
Switzerland,19,71
Switzerland,19,72
Switzerland,19,73
Switzerland,19,74
Switzerland,19,75
Switzerland,19,76
Switzerland,19,77
Switzerland,20,78
Switzerland,20,79
Switzerland,20,80
Switzerland,20,81
Switzerland,20,82
Switzerland,20,83
Switzerland,20,84
Switzerland,20,85
Switzerland,20,86
Switzerland,20,87
Switzerland,20,88
Switzerland,20,89
Switzerland,21,90
Switzerland,21,91
Switzerland,21,92
Switzerland,21,93
Switzerland,21,94
Switzerland,21,95
Switzerland,21,96
Switzerland,21,97
Switzerland,21,98
Switzerland,21,99
Switzerland,21,100
Germany,6,1
Germany,7,2
Germany,8,3
Germany,9,4
Germany,10,5
Germany,10,6
Germany,11,7
Germany,11,8
Germany,12,9
Germany,12,10
Germany,12,11
Germany,13,12
Germany,13,13
Germany,13,14
Germany,14,15
Germany,14,16
Germany,14,17
Germany,15,18
Germany,15,19
Germany,15,20
Germany,15,21
Germany,16,22
Germany,16,23
Germany,16,24
Germany,16,25
Germany,16,26
Germany,17,27
Germany,17,28
Germany,17,29
Germany,17,30
Germany,17,31
Germany,18,32
Germany,18,33
Germany,18,34
Germany,18,35
Germany,18,36
Germany,18,37
Germany,19,38
Germany,19,39
Germany,19,40
Germany,19,41
Germany,19,42
Germany,19,43
Germany,20,44
Germany,20,45
Germany,20,46
Germany,20,47
Germany,20,48
Germany,20,49
Germany,20,50
Germany,21,51
Germany,21,52
Germany,21,53
Germany,21,54
Germany,21,55
Germany,21,56
Germany,21,57
Germany,21,58
Germany,22,59
Germany,22,60
Germany,22,61
Germany,22,62
Germany,22,63
Germany,22,64
Germany,22,65
Germany,22,66
Germany,22,67
Germany,23,68
Germany,23,69
Germany,23,70
Germany,23,71
Germany,23,72
Germany,23,73
Germany,23,74
Germany,23,75
Germany,23,76
Germany,24,77
Germany,24,78
Germany,24,79
Germany,24,80
Germany,24,81
Germany,24,82
Germany,24,83
Germany,24,84
Germany,24,85
Germany,24,86
Germany,24,87
Germany,25,88
Germany,25,89
Germany,25,90
Germany,25,91
Germany,25,92
Germany,25,93
Germany,25,94
Germany,25,95
Germany,25,96
Germany,25,97
Germany,25,98
Germany,26,99
Germany,26,100
Denmark,7,1
Denmark,9,2
Denmark,11,3
Denmark,12,4
Denmark,13,5
Denmark,14,6
Denmark,14,7
Denmark,15,8
Denmark,16,9
Denmark,16,10
Denmark,17,11
Denmark,17,12
Denmark,18,13
Denmark,18,14
Denmark,19,15
Denmark,19,16
Denmark,20,17
Denmark,20,18
Denmark,20,19
Denmark,21,20
Denmark,21,21
Denmark,22,22
Denmark,22,23
Denmark,22,24
Denmark,23,25
Denmark,23,26
Denmark,23,27
Denmark,24,28
Denmark,24,29
Denmark,24,30
Denmark,24,31
Denmark,25,32
Denmark,25,33
Denmark,25,34
Denmark,25,35
Denmark,26,36
Denmark,26,37
Denmark,26,38
Denmark,26,39
Denmark,27,40
Denmark,27,41
Denmark,27,42
Denmark,27,43
Denmark,28,44
Denmark,28,45
Denmark,28,46
Denmark,28,47
Denmark,29,48
Denmark,29,49
Denmark,29,50
Denmark,29,51
Denmark,29,52
Denmark,30,53
Denmark,30,54
Denmark,30,55
Denmark,30,56
Denmark,30,57
Denmark,31,58
Denmark,31,59
Denmark,31,60
Denmark,31,61
Denmark,31,62
Denmark,31,63
Denmark,32,64
Denmark,32,65
Denmark,32,66
Denmark,32,67
Denmark,32,68
Denmark,32,69
Denmark,33,70
Denmark,33,71
Denmark,33,72
Denmark,33,73
Denmark,33,74
Denmark,33,75
Denmark,34,76
Denmark,34,77
Denmark,34,78
Denmark,34,79
Denmark,34,80
Denmark,34,81
Denmark,35,82
Denmark,35,83
Denmark,35,84
Denmark,35,85
Denmark,35,86
Denmark,35,87
Denmark,35,88
Denmark,36,89
Denmark,36,90
Denmark,36,91
Denmark,36,92
Denmark,36,93
Denmark,36,94
Denmark,36,95
Denmark,37,96
Denmark,37,97
Denmark,37,98
Denmark,37,99
Denmark,37,100
Spain,7,1
Spain,8,2
Spain,10,3
Spain,11,4
Spain,12,5
Spain,13,6
Spain,13,7
Spain,14,8
Spain,15,9
Spain,15,10
Spain,16,11
Spain,16,12
Spain,17,13
Spain,17,14
Spain,18,15
Spain,18,16
Spain,18,17
Spain,19,18
Spain,19,19
Spain,20,20
Spain,20,21
Spain,20,22
Spain,21,23
Spain,21,24
Spain,21,25
Spain,22,26
Spain,22,27
Spain,22,28
Spain,22,29
Spain,23,30
Spain,23,31
Spain,23,32
Spain,24,33
Spain,24,34
Spain,24,35
Spain,24,36
Spain,25,37
Spain,25,38
Spain,25,39
Spain,25,40
Spain,25,41
Spain,26,42
Spain,26,43
Spain,26,44
Spain,26,45
Spain,27,46
Spain,27,47
Spain,27,48
Spain,27,49
Spain,27,50
Spain,28,51
Spain,28,52
Spain,28,53
Spain,28,54
Spain,28,55
Spain,29,56
Spain,29,57
Spain,29,58
Spain,29,59
Spain,29,60
Spain,29,61
Spain,30,62
Spain,30,63
Spain,30,64
Spain,30,65
Spain,30,66
Spain,31,67
Spain,31,68
Spain,31,69
Spain,31,70
Spain,31,71
Spain,31,72
Spain,31,73
Spain,32,74
Spain,32,75
Spain,32,76
Spain,32,77
Spain,32,78
Spain,32,79
Spain,33,80
Spain,33,81
Spain,33,82
Spain,33,83
Spain,33,84
Spain,33,85
Spain,33,86
Spain,34,87
Spain,34,88
Spain,34,89
Spain,34,90
Spain,34,91
Spain,34,92
Spain,34,93
Spain,35,94
Spain,35,95
Spain,35,96
Spain,35,97
Spain,35,98
Spain,35,99
Spain,35,100
Turkey,9,1
Turkey,12,2
Turkey,14,3
Turkey,15,4
Turkey,16,5
Turkey,17,6
Turkey,18,7
Turkey,19,8
Turkey,20,9
Turkey,21,10
Turkey,21,11
Turkey,22,12
Turkey,23,13
Turkey,23,14
Turkey,24,15
Turkey,24,16
Turkey,25,17
Turkey,25,18
Turkey,26,19
Turkey,26,20
Turkey,27,21
Turkey,27,22
Turkey,27,23
Turkey,28,24
Turkey,28,25
Turkey,29,26
Turkey,29,27
Turkey,29,28
Turkey,30,29
Turkey,30,30
Turkey,30,31
Turkey,31,32
Turkey,31,33
Turkey,31,34
Turkey,32,35
Turkey,32,36
Turkey,32,37
Turkey,32,38
Turkey,33,39
Turkey,33,40
Turkey,33,41
Turkey,34,42
Turkey,34,43
Turkey,34,44
Turkey,34,45
Turkey,35,46
Turkey,35,47
Turkey,35,48
Turkey,35,49
Turkey,36,50
Turkey,36,51
Turkey,36,52
Turkey,36,53
Turkey,37,54
Turkey,37,55
Turkey,37,56
Turkey,37,57
Turkey,37,58
Turkey,38,59
Turkey,38,60
Turkey,38,61
Turkey,38,62
Turkey,39,63
Turkey,39,64
Turkey,39,65
Turkey,39,66
Turkey,39,67
Turkey,40,68
Turkey,40,69
Turkey,40,70
Turkey,40,71
Turkey,40,72
Turkey,41,73
Turkey,41,74
Turkey,41,75
Turkey,41,76
Turkey,41,77
Turkey,41,78
Turkey,42,79
Turkey,42,80
Turkey,42,81
Turkey,42,82
Turkey,42,83
Turkey,43,84
Turkey,43,85
Turkey,43,86
Turkey,43,87
Turkey,43,88
Turkey,43,89
Turkey,44,90
Turkey,44,91
Turkey,44,92
Turkey,44,93
Turkey,44,94
Turkey,44,95
Turkey,45,96
Turkey,45,97
Turkey,45,98
Turkey,45,99
Turkey,45,100
NA,4,1
NA,5,2
NA,5,3
NA,6,4
NA,6,5
NA,7,6
NA,7,7
NA,7,8
NA,8,9
NA,8,10
NA,8,11
NA,8,12
NA,9,13
NA,9,14
NA,9,15
NA,9,16
NA,9,17
NA,9,18
NA,10,19
NA,10,20
NA,10,21
NA,10,22
NA,10,23
NA,10,24
NA,11,25
NA,11,26
NA,11,27
NA,11,28
NA,11,29
NA,11,30
NA,11,31
NA,11,32
NA,12,33
NA,12,34
NA,12,35
NA,12,36
NA,12,37
NA,12,38
NA,12,39
NA,12,40
NA,12,41
NA,13,42
NA,13,43
NA,13,44
NA,13,45
NA,13,46
NA,13,47
NA,13,48
NA,13,49
NA,13,50
NA,13,51
NA,13,52
NA,14,53
NA,14,54
NA,14,55
NA,14,56
NA,14,57
NA,14,58
NA,14,59
NA,14,60
NA,14,61
NA,14,62
NA,14,63
NA,14,64
NA,15,65
NA,15,66
NA,15,67
NA,15,68
NA,15,69
NA,15,70
NA,15,71
NA,15,72
NA,15,73
NA,15,74
NA,15,75
NA,15,76
NA,15,77
NA,15,78
NA,15,79
NA,16,80
NA,16,81
NA,16,82
NA,16,83
NA,16,84
NA,16,85
NA,16,86
NA,16,87
NA,16,88
NA,16,89
NA,16,90
NA,16,91
NA,16,92
NA,16,93
NA,16,94
NA,16,95
NA,17,96
NA,17,97
NA,17,98
NA,17,99
NA,17,100
NA,1,1
NA,2,2
NA,2,3
NA,3,4
NA,3,5
NA,4,6
NA,4,7
NA,4,8
NA,5,9
NA,5,10
NA,5,11
NA,6,12
NA,6,13
NA,6,14
NA,7,15
NA,7,16
NA,7,17
NA,7,18
NA,8,19
NA,8,20
NA,8,21
NA,8,22
NA,9,23
NA,9,24
NA,9,25
NA,9,26
NA,10,27
NA,10,28
NA,10,29
NA,10,30
NA,11,31
NA,11,32
NA,11,33
NA,11,34
NA,11,35
NA,12,36
NA,12,37
NA,12,38
NA,12,39
NA,12,40
NA,13,41
NA,13,42
NA,13,43
NA,13,44
NA,13,45
NA,13,46
NA,14,47
NA,14,48
NA,14,49
NA,14,50
NA,14,51
NA,15,52
NA,15,53
NA,15,54
NA,15,55
NA,15,56
NA,15,57
NA,16,58
NA,16,59
NA,16,60
NA,16,61
NA,16,62
NA,16,63
NA,17,64
NA,17,65
NA,17,66
NA,17,67
NA,17,68
NA,17,69
NA,18,70
NA,18,71
NA,18,72
NA,18,73
NA,18,74
NA,18,75
NA,19,76
NA,19,77
NA,19,78
NA,19,79
NA,19,80
NA,19,81
NA,19,82
NA,20,83
NA,20,84
NA,20,85
NA,20,86
NA,20,87
NA,20,88
NA,21,89
NA,21,90
NA,21,91
NA,21,92
NA,21,93
NA,21,94
NA,21,95
NA,22,96
NA,22,97
NA,22,98
NA,22,99
NA,22,100
