number_ponds,action,scenario,Aquatic plant species,Amphibian species,Dragonfly species,Invasive alien species,Capacity of C storage,"GHG emission (CH4, CO2, N2O)",Carbon budget,Water quantity,Water quality,Cost
1,Creation,1,4,1,9,4,2,9,10,2,6,6
2,Creation,1,6,9,9,8,6,9,10,3,3,3
3,Creation,1,1,3,5,2,8,2,6,1,7,2
4,Creation,1,8,7,8,8,2,6,8,3,2,3
5,Creation,1,9,10,1,6,10,7,5,8,6,3
6,Creation,1,3,1,7,2,1,8,7,10,10,6
7,Creation,1,10,8,8,2,6,2,5,3,1,8
8,Creation,1,6,9,9,4,10,6,10,10,1,9
9,Creation,1,9,4,10,2,3,6,6,7,6,9
10,Creation,1,3,4,8,10,6,3,7,2,6,4
11,Creation,1,8,6,5,4,10,8,6,6,6,4
12,Creation,1,6,4,10,6,7,6,1,2,10,5
13,Creation,1,9,9,1,9,6,1,5,6,10,2
14,Creation,1,2,9,6,7,6,10,1,1,5,7
15,Creation,1,8,2,8,7,5,7,5,8,6,5
16,Creation,1,6,6,1,4,6,6,5,5,4,5
17,Creation,1,2,7,4,7,6,2,4,2,6,1
18,Creation,1,1,7,7,1,2,10,6,6,5,7
19,Creation,1,8,4,2,1,8,1,5,8,7,4
20,Creation,1,3,9,9,1,8,9,9,9,5,3
1,"	Restoration",1,9,6,3,3,9,3,6,8,7,6
2,"	Restoration",1,7,10,3,10,5,9,6,3,9,4
3,"	Restoration",1,10,8,5,3,5,10,1,1,1,10
4,"	Restoration",1,3,4,2,10,2,6,10,5,3,2
5,"	Restoration",1,2,7,7,6,2,7,10,5,5,2
6,"	Restoration",1,5,10,10,10,5,5,7,8,1,5
7,"	Restoration",1,4,4,4,6,6,6,3,6,8,7
8,"	Restoration",1,2,9,5,9,7,4,9,1,10,7
9,"	Restoration",1,2,9,6,2,9,5,4,7,7,1
10,"	Restoration",1,3,6,3,10,3,2,10,5,5,1
11,"	Restoration",1,9,10,3,4,7,9,3,4,9,3
12,"	Restoration",1,7,4,8,3,5,1,8,1,3,10
13,"	Restoration",1,3,5,2,1,9,4,3,1,3,3
14,"	Restoration",1,10,7,5,2,1,3,6,10,4,9
15,"	Restoration",1,8,8,9,2,8,2,2,9,10,9
16,"	Restoration",1,8,3,3,2,10,4,5,1,9,2
17,"	Restoration",1,5,9,6,4,9,9,10,1,9,7
18,"	Restoration",1,4,9,2,9,4,10,1,10,1,1
19,"	Restoration",1,10,9,8,7,8,2,7,5,6,3
20,"	Restoration",1,4,7,3,4,2,9,1,9,9,7
1,Creation,2,9,3,6,7,7,8,2,4,9,1
2,Creation,2,1,6,8,10,8,1,6,6,2,5
3,Creation,2,3,8,8,6,5,4,8,6,5,5
4,Creation,2,4,5,9,7,6,8,2,2,1,8
5,Creation,2,5,7,3,6,10,5,4,3,9,6
6,Creation,2,9,8,7,1,5,3,1,3,3,2
7,Creation,2,8,1,9,8,6,1,3,6,6,5
8,Creation,2,3,4,3,5,2,8,8,4,6,2
9,Creation,2,6,3,9,1,4,10,7,2,7,5
10,Creation,2,2,3,8,5,1,10,3,1,7,7
11,Creation,2,10,9,7,2,4,6,8,10,8,3
12,Creation,2,6,8,4,7,3,3,4,3,5,2
13,Creation,2,2,7,2,3,8,5,1,7,7,2
14,Creation,2,9,6,6,1,3,3,9,2,6,8
15,Creation,2,8,1,6,1,5,5,3,6,7,1
16,Creation,2,10,9,7,3,10,1,7,10,9,4
17,Creation,2,7,8,8,5,6,1,8,2,4,3
18,Creation,2,10,1,6,4,2,10,2,5,5,7
19,Creation,2,2,4,4,7,3,2,2,7,2,4
20,Creation,2,8,6,7,2,6,8,1,10,10,5
1,"	Restoration",2,8,10,3,8,3,9,2,9,1,10
2,"	Restoration",2,2,6,9,9,5,6,6,10,10,3
3,"	Restoration",2,3,6,3,5,8,3,6,4,2,9
4,"	Restoration",2,3,3,1,2,7,1,4,1,2,1
5,"	Restoration",2,2,8,6,5,9,10,3,8,7,10
6,"	Restoration",2,3,3,10,7,10,1,8,3,3,9
7,"	Restoration",2,6,7,1,2,7,10,10,9,8,1
8,"	Restoration",2,10,3,1,8,3,6,6,7,1,7
9,"	Restoration",2,3,3,1,8,9,7,3,10,2,7
10,"	Restoration",2,4,10,6,2,8,3,8,7,6,6
11,"	Restoration",2,10,5,8,9,9,7,4,9,6,5
12,"	Restoration",2,6,6,6,4,6,10,9,8,6,9
13,"	Restoration",2,1,7,3,6,8,6,3,5,7,7
14,"	Restoration",2,8,7,7,1,7,8,1,3,5,3
15,"	Restoration",2,3,6,5,5,9,2,2,2,1,3
16,"	Restoration",2,6,10,2,3,1,9,5,5,5,2
17,"	Restoration",2,3,6,7,4,10,3,2,9,4,8
18,"	Restoration",2,5,1,1,6,5,7,4,1,2,2
19,"	Restoration",2,3,4,10,9,1,7,3,3,1,7
20,"	Restoration",2,4,3,8,8,8,6,10,6,2,6
